Date,Company,Open,High,Low,Close,Volume,Price Change %
7/2/2025,NVDA,152.98,157.6,152.97,157.25,171224100,2.79
7/3/2025,AMZN,221.82,224.01,221.36,223.41,29632400,0.72
7/3/2025,GOOGL,178.5,179.67,177.05,179.53,21689700,0.58
7/3/2025,META,726.61,729.03,714.42,719.01,8601700,-1.05
7/3/2025,NVDA,158.37,160.98,157.77,159.34,143716100,0.61
7/7/2025,AMZN,223,224.29,222.37,223.47,36604100,0.21
7/7/2025,GOOGL,179.06,179.3,175.68,176.79,34175600,-1.27
7/7/2025,META,717.6,727,713.51,718.35,9457100,0.1
7/7/2025,NVDA,158.2,159.31,157.34,158.24,140139000,0.03
7/8/2025,AMZN,223.92,224,218.43,219.36,45692000,-2.04
7/8/2025,GOOGL,177.85,177.95,172.81,174.36,40442500,-1.96
7/8/2025,META,721.57,722.91,714.81,720.67,7770700,-0.12
7/8/2025,NVDA,159.33,160.22,158.39,160,138133000,0.42
7/9/2025,AMZN,221.07,224.29,220.47,222.54,38155100,0.66
7/9/2025,GOOGL,175.25,179.44,172.77,176.62,43025600,0.78
7/9/2025,META,722.72,737.53,722.72,732.78,11418000,1.39
7/9/2025,NVDA,161.22,164.42,161.16,162.88,183656400,1.03
7/10/2025,AMZN,221.55,222.79,219.7,222.26,30370600,0.32
7/10/2025,GOOGL,175.63,178.43,174.38,177.62,29252400,1.13
7/10/2025,META,731.55,735.8,719.6,727.24,9913600,-0.59
7/10/2025,NVDA,164.32,164.5,161.61,164.1,167704100,-0.13
7/11/2025,AMZN,223.58,226.68,222.37,225.02,50518300,0.64
7/11/2025,GOOGL,176.79,181.43,176.48,180.19,34282900,1.92
7/11/2025,META,722.5,725.16,709.7,717.51,10873900,-0.69
7/11/2025,NVDA,163.72,167.89,163.47,164.92,193633300,0.73
7/14/2025,AMZN,225.07,226.66,224.24,225.69,35702600,0.28
7/14/2025,GOOGL,181.01,183.67,179.68,181.56,32536600,0.3
7/14/2025,META,717.6,728,716.55,720.92,8939400,0.46
7/14/2025,NVDA,165.37,165.49,162.02,164.07,136975800,-0.79
7/15/2025,AMZN,226.2,227.27,225.46,226.35,34907300,0.07
7/15/2025,GOOGL,182.81,184.22,181.6,182,33448300,-0.44
7/15/2025,META,723.9,724.47,709.82,710.39,11529500,-1.87
7/15/2025,NVDA,171.19,172.4,169.2,170.7,230627400,-0.29
7/16/2025,AMZN,225.88,226.1,222.18,223.19,39535900,-1.19
7/16/2025,GOOGL,183.24,184.33,182.03,182.97,33104200,-0.15
7/16/2025,META,713.37,713.97,699.27,702.91,13067600,-1.47
7/16/2025,NVDA,171.06,171.75,168.9,171.37,158831500,0.18
7/17/2025,AMZN,223.32,224.5,222.51,223.88,31855800,0.25
7/17/2025,GOOGL,182.14,184.06,180.48,183.58,31992600,0.79
7/17/2025,META,704.39,705.9,697.11,701.41,11803300,-0.42
7/17/2025,NVDA,172.02,174.16,170.83,173,160841100,0.57
